|id |startdt                |enddt                  |task_id|
|250|2025-09-24 11:33:07.468|2025-09-24 11:33:07.559|2      |
|251|2025-09-24 11:34:07.666|2025-09-24 11:34:07.749|1      |
|252|2025-09-24 11:34:07.767|2025-09-24 11:34:07.874|2      |
|253|2025-09-24 11:35:07.974|2025-09-24 11:35:08.056|1      |
|254|2025-09-24 11:35:08.073|2025-09-24 11:35:08.164|2      |
|255|2025-09-24 11:36:08.272|2025-09-24 11:36:08.454|1      |
|256|2025-09-24 11:36:08.472|2025-09-24 11:36:08.588|2      |
|257|2025-09-24 11:37:08.695|2025-09-24 11:37:08.769|1      |
|258|2025-09-24 11:37:08.786|2025-09-24 11:37:08.894|2      |
|259|2025-09-24 11:38:09.001|2025-09-24 11:38:09.084|1      |
|260|2025-09-24 11:38:09.101|2025-09-24 11:38:09.201|2      |
|261|2025-09-24 11:39:09.300|2025-09-24 11:39:09.383|1      |
|262|2025-09-24 11:39:09.400|2025-09-24 11:39:09.491|2      |
|263|2025-09-24 11:40:09.590|2025-09-24 11:40:09.664|1      |
|264|2025-09-24 11:40:09.682|2025-09-24 11:40:09.789|2      |
|265|2025-09-24 11:41:09.888|2025-09-24 11:41:09.962|1      |
|266|2025-09-24 11:41:09.988|2025-09-24 11:41:10.079|2      |
|267|2025-09-24 11:42:10.187|2025-09-24 11:42:10.269|1      |
|268|2025-09-24 11:42:10.287|2025-09-24 11:42:10.386|2      |
|269|2025-09-24 11:43:10.493|2025-09-24 11:43:10.576|1      |
|270|2025-09-24 11:43:10.593|2025-09-24 11:43:10.692|2      |
|271|2025-09-24 11:44:10.791|2025-09-24 11:44:10.866|1      |
|272|2025-09-24 11:44:10.883|2025-09-24 11:44:10.983|2      |
|273|2025-09-24 11:45:11.082|2025-09-24 11:45:11.164|1      |
|274|2025-09-24 11:45:11.182|2025-09-24 11:45:11.281|2      |
|275|2025-09-24 11:46:11.380|2025-09-24 11:46:11.454|1      |
|276|2025-09-24 11:46:11.472|2025-09-24 11:46:11.580|2      |
|277|2025-09-24 11:47:11.679|2025-09-24 11:47:11.761|1      |
|278|2025-09-24 11:47:11.778|2025-09-24 11:47:11.886|2      |
|279|2025-09-24 11:48:11.985|2025-09-24 11:48:12.067|1      |
|280|2025-09-24 11:48:12.085|2025-09-24 11:48:12.184|2      |
|281|2025-09-24 11:49:12.292|2025-09-24 11:49:12.374|1      |
|282|2025-09-24 11:49:12.392|2025-09-24 11:49:12.483|2      |
|283|2025-09-24 11:50:12.582|2025-09-24 11:50:12.664|1      |
|284|2025-09-24 11:50:12.682|2025-09-24 11:50:12.789|2      |
|285|2025-09-24 11:51:12.889|2025-09-24 11:51:12.988|1      |
|286|2025-09-24 11:51:13.006|2025-09-24 11:51:13.105|2      |
|287|2025-09-24 11:52:13.237|2025-09-24 11:52:13.320|1      |
|288|2025-09-24 11:52:13.337|2025-09-24 11:52:13.453|2      |
|289|2025-09-24 11:53:13.560|2025-09-24 11:53:13.634|1      |
|290|2025-09-24 11:53:13.652|2025-09-24 11:53:13.743|2      |
|291|2025-09-24 11:54:13.842|2025-09-24 11:54:13.925|1      |
|292|2025-09-24 11:54:13.942|2025-09-24 11:54:14.033|2      |
|293|2025-09-24 11:55:14.140|2025-09-24 11:55:14.223|1      |
|294|2025-09-24 11:55:14.240|2025-09-24 11:55:14.339|2      |
|295|2025-09-24 11:56:14.447|2025-09-24 11:56:14.537|1      |
|296|2025-09-24 11:56:14.555|2025-09-24 11:56:14.646|2      |
|297|2025-09-24 11:57:14.753|2025-09-24 11:57:14.836|1      |
|298|2025-09-24 11:57:14.853|2025-09-24 11:57:14.952|2      |
|299|2025-09-24 11:58:15.060|2025-09-24 11:58:15.159|1      |
|300|2025-09-24 11:58:15.176|2025-09-24 11:58:15.267|2      |
|301|2025-09-24 11:59:15.376|2025-09-24 11:59:15.467|1      |
|302|2025-09-24 11:59:15.484|2025-09-24 11:59:15.584|2      |
|303|2025-09-24 12:00:15.683|2025-09-24 12:00:15.765|1      |
|304|2025-09-24 12:00:15.783|2025-09-24 12:00:15.873|2      |
|305|2025-09-24 12:01:15.981|2025-09-24 12:01:16.063|1      |
|306|2025-09-24 12:01:16.081|2025-09-24 12:01:16.172|2      |
|307|2025-09-24 12:02:16.271|2025-09-24 12:02:16.361|1      |
|308|2025-09-24 12:02:16.379|2025-09-24 12:02:16.487|2      |
|309|2025-09-24 12:03:16.594|2025-09-24 12:03:16.676|1      |
|310|2025-09-24 12:03:16.694|2025-09-24 12:03:16.785|2      |
|311|2025-09-24 12:04:16.892|2025-09-24 12:04:16.975|1      |
|312|2025-09-24 12:04:16.993|2025-09-24 12:04:17.092|2      |
|313|2025-09-24 12:05:17.191|2025-09-24 12:05:17.265|1      |
|314|2025-09-24 12:05:17.283|2025-09-24 12:05:17.374|2      |
|315|2025-09-24 12:06:17.481|2025-09-24 12:06:17.564|1      |
|316|2025-09-24 12:06:17.581|2025-09-24 12:06:17.672|2      |
|317|2025-09-24 12:07:17.771|2025-09-24 12:07:17.853|1      |
|318|2025-09-24 12:07:17.871|2025-09-24 12:07:17.970|2      |
|319|2025-09-24 12:08:18.078|2025-09-24 12:08:18.160|1      |
|320|2025-09-24 12:08:18.178|2025-09-24 12:08:18.277|2      |
|321|2025-09-24 12:09:18.376|2025-09-24 12:09:18.459|1      |
|322|2025-09-24 12:09:18.476|2025-09-24 12:09:18.576|2      |
|323|2025-09-24 12:10:18.683|2025-09-24 12:10:18.765|1      |
|324|2025-09-24 12:10:18.783|2025-09-24 12:10:18.890|2      |
|325|2025-09-24 12:11:18.997|2025-09-24 12:11:19.080|1      |
|326|2025-09-24 12:11:19.097|2025-09-24 12:11:19.188|2      |
|327|2025-09-24 12:12:19.296|2025-09-24 12:12:19.370|1      |
|328|2025-09-24 12:12:19.387|2025-09-24 12:12:19.486|2      |
|329|2025-09-24 12:13:19.594|2025-09-24 12:13:19.676|1      |
|330|2025-09-24 12:13:19.693|2025-09-24 12:13:19.793|2      |
|331|2025-09-24 12:14:19.892|2025-09-24 12:14:19.975|1      |
|332|2025-09-24 12:14:19.993|2025-09-24 12:14:20.083|2      |
|333|2025-09-24 12:15:20.182|2025-09-24 12:15:20.273|1      |
|334|2025-09-24 12:15:20.290|2025-09-24 12:15:20.398|2      |
|335|2025-09-24 12:16:20.497|2025-09-24 12:16:20.571|1      |
|336|2025-09-24 12:16:20.589|2025-09-24 12:16:20.688|2      |
|337|2025-09-24 12:17:20.787|2025-09-24 12:17:20.861|1      |
|338|2025-09-24 12:17:20.879|2025-09-24 12:17:20.995|2      |
|339|2025-09-24 12:18:21.103|2025-09-24 12:18:21.176|1      |
|340|2025-09-24 12:18:21.194|2025-09-24 12:18:21.293|2      |
|341|2025-09-24 12:19:21.392|2025-09-24 12:19:21.475|1      |
|342|2025-09-24 12:19:21.492|2025-09-24 12:19:21.600|2      |
|343|2025-09-24 12:20:21.709|2025-09-24 12:20:21.782|1      |
|344|2025-09-24 12:20:21.799|2025-09-24 12:20:21.898|2      |
|345|2025-09-24 12:21:22.006|2025-09-24 12:21:22.080|1      |
|346|2025-09-24 12:21:22.097|2025-09-24 12:21:22.222|2      |
|347|2025-09-24 12:22:22.329|2025-09-24 12:22:22.403|1      |
|348|2025-09-24 12:22:22.420|2025-09-24 12:22:22.520|2      |
|349|2025-09-24 12:23:22.627|2025-09-24 12:23:22.709|1      |
|350|2025-09-24 12:23:22.727|2025-09-24 12:23:22.818|2      |
|351|2025-09-24 12:24:22.925|2025-09-24 12:24:23.000|1      |
|352|2025-09-24 12:24:23.017|2025-09-24 12:24:23.117|2      |
|353|2025-09-24 12:25:23.224|2025-09-24 12:25:23.324|1      |
|354|2025-09-24 12:25:23.341|2025-09-24 12:25:23.441|2      |
|355|2025-09-24 12:26:23.532|2025-09-24 12:26:23.614|1      |
