|id |node_id|interface_id|mac_address      |ip_address|vlan_id|first_seen             |last_seen              |status  |
|105|1      |            |00:1f:ce:cd:95:54|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|106|1      |            |00:1f:ce:cd:95:55|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|107|1      |            |00:90:0b:86:a3:7f|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|108|1      |            |1c:bf:ce:27:18:13|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|109|1      |            |30:8d:99:bb:3a:31|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|110|1      |            |38:68:dd:8e:d5:a5|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|111|1      |            |40:a5:ef:e2:2e:51|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|112|1      |            |50:b7:c3:69:44:09|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|113|1      |            |5c:6f:69:2d:ff:4a|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|114|1      |            |5c:6f:69:2d:ff:4b|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|115|1      |            |68:05:ca:f3:b2:b0|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|116|1      |            |a8:f9:4b:ab:06:a0|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|117|1      |            |ca:5e:0e:8a:fd:33|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|118|1      |            |e0:d9:e3:13:6b:40|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|119|1      |            |f8:f0:82:10:55:d2|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|120|1      |            |f8:f0:82:10:55:d3|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|121|1      |            |00:08:7c:86:03:98|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|122|1      |            |00:1f:ce:cd:95:50|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|123|1      |            |00:1f:ce:cd:95:52|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|124|1      |            |00:1f:ce:cd:95:53|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
|125|1      |            |00:1f:ce:cd:95:54|          |       |2025-09-24 14:10:07.810|2025-09-24 14:10:08.806|INACTIVE|
